time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450950000	11.4765	21.0356	4.88583	3.15697	0.595645	radar	1.09461	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2583	21.0303	4.85202	3.18513	0.595084	lidar	0.676506	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.004	20.9918	4.86305	3.22486	0.606132	radar	4.16442	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7913	20.9547	4.8208	3.25972	0.612229	lidar	0.613592	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5434	20.9532	4.81465	3.26672	0.56875	radar	5.5422	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2669	20.9788	4.87576	3.27261	0.543313	lidar	3.36012	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.028	20.9603	4.87192	3.29202	0.532927	radar	1.02122	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.8306	20.9218	4.81433	3.3197	0.535797	lidar	1.68754	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59592	20.913	4.7884	3.31948	0.488234	radar	2.44636	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39994	20.8608	4.73552	3.34854	0.494551	lidar	1.10893	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.17723	20.82	4.72508	3.37004	0.491919	radar	1.49694	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89044	20.7863	4.80222	3.38223	0.47706	lidar	2.12732	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67417	20.7078	4.78382	3.41559	0.489269	radar	4.43885	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40218	20.6228	4.84246	3.44301	0.490906	lidar	2.73753	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17382	20.5429	4.84467	3.47156	0.497826	radar	0.0843672	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93264	20.4626	4.86215	3.49479	0.495677	lidar	0.130596	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71636	20.3766	4.86292	3.52692	0.513133	radar	3.47617	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41415	20.3177	4.95979	3.53003	0.487278	lidar	3.6054	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.18381	20.2206	4.9586	3.55251	0.48264	radar	0.227048	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.92078	20.1381	5.0026	3.56456	0.469003	lidar	0.809247	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.69667	20.046	4.98912	3.58091	0.457745	radar	0.484186	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.44847	19.9552	5.01487	3.59386	0.446804	lidar	0.41713	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.2322	19.8613	4.99895	3.61108	0.44187	radar	2.82452	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.97008	19.7682	5.04363	3.61862	0.425744	lidar	0.958453	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.74341	19.6225	5.07736	3.65656	0.454117	radar	1.98475	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.56119	19.5008	5.02786	3.68393	0.46001	lidar	1.22837	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.36004	19.3516	5.02372	3.71683	0.473115	radar	1.72586	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.14474	19.2505	5.01498	3.72655	0.458699	lidar	1.92975	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.95142	19.1384	4.96624	3.73645	0.436292	radar	4.62915	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78467	18.9877	4.9251	3.76922	0.448792	lidar	0.687859	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
